Tên bài hát(file name),Định dạng,Ca sĩ (chính),Ca sĩ (phụ),Class,SCR,,,,,,,,,,,,,,
"BẢNH (feat. Anh Tú Atus, Song Luân, RHYDER, HURRYKNG, Captain, Quang Trung, Dương Domic, Anh Tú, JSOL, Đỗ Phú Quí, Tage, Phạm Đình Thái Ngân, Phạm Anh Duy & Hùng Huỳnh)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/BẢNH (feat. Anh Tú Atus, Song Luân, RHYDER, HURRYKNG, Captain, Quang Trung, Dương Domic, Anh Tú, JSOL, Đỗ Phú Quí, Tage, Phạm Đình Thái Ngân, Phạm Anh Duy & Hùng Huỳnh).mp3",,,,,,,,,,,,,,
"BAO LỜI CON CHƯA NÓI (feat. Dương Domic, Anh Tú Atus, Song Luân, Quang Trung & Anh Tú)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/BAO LỜI CON CHƯA NÓI (feat. Dương Domic, Anh Tú Atus, Song Luân, Quang Trung & Anh Tú).mp3",,,,,,,,,,,,,,
"CATCH ME IF YOU CAN (feat. Quang Hùng MasterD, Negav, Công Dương & Nicky)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/CATCH ME IF YOU CAN (feat. Quang Hùng MasterD, Negav, Công Dương & Nicky).mp3",,,,,,,,,,,,,,
"CHÂN THÀNH (feat. RHYDER, Captain, Quang Hùng MasterD, WEAN & Ali Hoàng Dương)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/CHÂN THÀNH (feat. RHYDER, Captain, Quang Hùng MasterD, WEAN & Ali Hoàng Dương).mp3",,,,,,,,,,,,,,
CHÀNG KHỜ THUỶ CUNG (feat. Negav & GREY D),.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,../files/musics/Anh Trai Say Hi/CHÀNG KHỜ THUỶ CUNG (feat. Negav & GREY D).mp3,,,,,,,,,,,,,,
COLORS (feat. Pháp Kiều),.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,../files/musics/Anh Trai Say Hi/COLORS (feat. Pháp Kiều).mp3,,,,,,,,,,,,,,
"CỨ ĐỂ ANH TA RỜI ĐI (feat. Dương Domic, Quang Hùng MasterD, Lou Hoàng, Song Luân & Bảo Anh)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/CỨ ĐỂ ANH TA RỜI ĐI (feat. Dương Domic, Quang Hùng MasterD, Lou Hoàng, Song Luân & Bảo Anh).mp3",,,,,,,,,,,,,,
CỨ MỖI SÁNG ANH LẠI.. (feat. Quân A.P),.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,../files/musics/Anh Trai Say Hi/CỨ MỖI SÁNG ANH LẠI.. (feat. Quân A.P).mp3,,,,,,,,,,,,,,
"ĐẦU ĐỘI SỪNG (feat. Quân A.P, HURRYKNG & Hùng Huỳnh)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/ĐẦU ĐỘI SỪNG (feat. Quân A.P, HURRYKNG & Hùng Huỳnh).mp3",,,,,,,,,,,,,,
"ĐỀU LÀ CỦA EM (feat. Dương Domic, Anh Tú Atus, Song Luân, Quang Trung & Anh Tú)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/ĐỀU LÀ CỦA EM (feat. Dương Domic, Anh Tú Atus, Song Luân, Quang Trung & Anh Tú).mp3",,,,,,,,,,,,,,
ĐOÁ HỒNG CHƠI VƠI (feat. Anh Tú),.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,../files/musics/Anh Trai Say Hi/ĐOÁ HỒNG CHƠI VƠI (feat. Anh Tú).mp3,,,,,,,,,,,,,,
ĐOÁ PHÙ DUNG CUỐI CÙNG (feat. Đức Phúc),.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,../files/musics/Anh Trai Say Hi/ĐOÁ PHÙ DUNG CUỐI CÙNG (feat. Đức Phúc).mp3,,,,,,,,,,,,,,
"DON'T CARE (feat. Isaac, Quang Hùng MasterD, Negav, Gin Tuấn Kiệt, Vũ Thịnh & Nanon)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/DON'T CARE (feat. Isaac, Quang Hùng MasterD, Negav, Gin Tuấn Kiệt, Vũ Thịnh & Nanon).mp3",,,,,,,,,,,,,,
降维折磨,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/降维折磨.mp3,,,,,,,,,,,,,,
02 - 氛围女版,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/02 - 氛围女版.mp3,,,,,,,,,,,,,,
9420 - Djheap九天版,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/9420 - Djheap九天版.mp3,,,,,,,,,,,,,,
How to get over U？,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/How to get over U？.mp3,,,,,,,,,,,,,,
My First Song - DJ版,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/My First Song - DJ版.mp3,,,,,,,,,,,,,,
OK歌,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/OK歌.mp3,,,,,,,,,,,,,,
下山,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/下山.mp3,,,,,,,,,,,,,,
不必,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/不必.mp3,,,,,,,,,,,,,,
